95;163.32;526.37;123.03;1;156.78;531.68;160.54;535.76;167.02;529.23;169.4;518.83;167.01;516.85;160.42;522.61;-1;-1;-1;-1;-1;-1;-1;-1;256;274;273;272;271;255;0
242;146.14;535.34;36.88;1;141.83;530.69;145.37;539.52;146.16;539.57;150.8;536.7;150.84;535.95;142.38;530.31;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1
98;165.3;548.63;65.22;1;158.6;553.16;165.99;553.16;167.19;552.24;170.78;543.34;168.56;542.06;161.22;548.94;-1;-1;-1;-1;-1;-1;-1;-1;277;275;276;257;-1;-1;2
243;146.17;543.21;26.1;1;141.36;541.08;150.53;548.29;150.94;547.83;146.08;540.02;145.23;539.97;141.75;540.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3
256;155.9;534.95;26.06;1;151.26;536.61;160.34;536.72;160.32;536.04;156.54;531.93;155.72;531.94;151.29;535.94;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4
257;155.85;550.35;36.45;1;150.84;548.62;153.67;553.06;158.25;553.06;160.83;548.89;160.32;548.37;151.31;548.08;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5
85;155.62;542.15;147.88;1;146.39;539.84;151.29;547.73;160.34;548.02;164.45;540.21;160.53;537.07;151.06;536.96;-1;-1;-1;-1;-1;-1;-1;-1;243;257;276;274;256;242;6
97;173.62;544.91;9.55;1;172.08;543.25;174.52;549.68;174.52;543.79;173.47;541.63;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;277;275;-1;-1;-1;-1;7
275;171.09;541.84;6.25;1;168.35;541.33;168.69;541.73;170.99;543.05;171.83;543.01;173.32;541.26;173.61;540.88;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8
277;171.34;549.46;40.27;1;167.57;552.25;168.18;552.72;171.01;553.06;174.42;553.06;174.42;550.4;171.79;543.46;171.1;543.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;9
